InquiryID,CUSIP,side,quantity,price,state
I1,912828M72,BUY,10000000,0,RECEIVED
I2,912828M72,SELL,10000000,0,RECEIVED
I3,912828M72,BUY,10000000,0,RECEIVED
I4,912828M72,SELL,10000000,0,RECEIVED
I5,912828M72,BUY,10000000,0,RECEIVED
I6,912828M72,SELL,10000000,0,RECEIVED
I7,912828M72,BUY,10000000,0,RECEIVED
I8,912828M72,SELL,10000000,0,RECEIVED
I9,912828M72,BUY,10000000,0,RECEIVED
I10,912828M72,SELL,10000000,0,RECEIVED
I11,912828N22,BUY,10000000,0,RECEIVED
I12,912828N22,SELL,10000000,0,RECEIVED
I13,912828N22,BUY,10000000,0,RECEIVED
I14,912828N22,SELL,10000000,0,RECEIVED
I15,912828N22,BUY,10000000,0,RECEIVED
I16,912828N22,SELL,10000000,0,RECEIVED
I17,912828N22,BUY,10000000,0,RECEIVED
I18,912828N22,SELL,10000000,0,RECEIVED
I19,912828N22,BUY,10000000,0,RECEIVED
I20,912828N22,SELL,10000000,0,RECEIVED
I21,912828M98,BUY,10000000,0,RECEIVED
I22,912828M98,SELL,10000000,0,RECEIVED
I23,912828M98,BUY,10000000,0,RECEIVED
I24,912828M98,SELL,10000000,0,RECEIVED
I25,912828M98,BUY,10000000,0,RECEIVED
I26,912828M98,SELL,10000000,0,RECEIVED
I27,912828M98,BUY,10000000,0,RECEIVED
I28,912828M98,SELL,10000000,0,RECEIVED
I29,912828M98,BUY,10000000,0,RECEIVED
I30,912828M98,SELL,10000000,0,RECEIVED
I31,912828M80,BUY,10000000,0,RECEIVED
I32,912828M80,SELL,10000000,0,RECEIVED
I33,912828M80,BUY,10000000,0,RECEIVED
I34,912828M80,SELL,10000000,0,RECEIVED
I35,912828M80,BUY,10000000,0,RECEIVED
I36,912828M80,SELL,10000000,0,RECEIVED
I37,912828M80,BUY,10000000,0,RECEIVED
I38,912828M80,SELL,10000000,0,RECEIVED
I39,912828M80,BUY,10000000,0,RECEIVED
I40,912828M80,SELL,10000000,0,RECEIVED
I41,912828M56,BUY,10000000,0,RECEIVED
I42,912828M56,SELL,10000000,0,RECEIVED
I43,912828M56,BUY,10000000,0,RECEIVED
I44,912828M56,SELL,10000000,0,RECEIVED
I45,912828M56,BUY,10000000,0,RECEIVED
I46,912828M56,SELL,10000000,0,RECEIVED
I47,912828M56,BUY,10000000,0,RECEIVED
I48,912828M56,SELL,10000000,0,RECEIVED
I49,912828M56,BUY,10000000,0,RECEIVED
I50,912828M56,SELL,10000000,0,RECEIVED
I51,912810RP5,BUY,10000000,0,RECEIVED
I52,912810RP5,SELL,10000000,0,RECEIVED
I53,912810RP5,BUY,10000000,0,RECEIVED
I54,912810RP5,SELL,10000000,0,RECEIVED
I55,912810RP5,BUY,10000000,0,RECEIVED
I56,912810RP5,SELL,10000000,0,RECEIVED
I57,912810RP5,BUY,10000000,0,RECEIVED
I58,912810RP5,SELL,10000000,0,RECEIVED
I59,912810RP5,BUY,10000000,0,RECEIVED
I60,912810RP5,SELL,10000000,0,RECEIVED
