CUSIP,mid,bidofferspread
912828M72,99-000,0-002
912828M72,99-001,0-00+
912828M72,99-002,0-002
912828M72,99-003,0-00+
912828M72,99-00+,0-002
912828M72,99-005,0-00+
912828M72,99-006,0-002
912828M72,99-007,0-00+
912828M72,99-010,0-002
912828M72,99-011,0-00+
912828M72,99-012,0-002
912828M72,99-013,0-00+
912828M72,99-01+,0-002
912828M72,99-015,0-00+
912828M72,99-016,0-002
912828M72,99-017,0-00+
912828M72,99-020,0-002
912828M72,99-021,0-00+
912828M72,99-022,0-002
912828M72,99-023,0-00+
912828M72,99-02+,0-002
912828M72,99-025,0-00+
912828M72,99-026,0-002
912828M72,99-027,0-00+
912828M72,99-030,0-002
912828M72,99-031,0-00+
912828M72,99-032,0-002
912828M72,99-033,0-00+
912828M72,99-03+,0-002
912828M72,99-035,0-00+
912828M72,99-036,0-002
912828M72,99-037,0-00+
912828M72,99-040,0-002
912828M72,99-041,0-00+
912828M72,99-042,0-002
912828M72,99-043,0-00+
912828M72,99-04+,0-002
912828M72,99-045,0-00+
912828M72,99-046,0-002
912828M72,99-047,0-00+
912828M72,99-050,0-002
912828M72,99-051,0-00+
912828M72,99-052,0-002
912828M72,99-053,0-00+
912828M72,99-05+,0-002
912828M72,99-055,0-00+
912828M72,99-056,0-002
912828M72,99-057,0-00+
912828M72,99-060,0-002
912828M72,99-061,0-00+
912828M72,99-062,0-002
912828M72,99-063,0-00+
912828M72,99-06+,0-002
912828M72,99-065,0-00+
912828M72,99-066,0-002
912828M72,99-067,0-00+
912828M72,99-070,0-002
912828M72,99-071,0-00+
912828M72,99-072,0-002
912828M72,99-073,0-00+
912828M72,99-07+,0-002
912828M72,99-075,0-00+
912828M72,99-076,0-002
912828M72,99-077,0-00+
912828M72,99-080,0-002
912828M72,99-081,0-00+
912828M72,99-082,0-002
912828M72,99-083,0-00+
912828M72,99-08+,0-002
912828M72,99-085,0-00+
912828M72,99-086,0-002
912828M72,99-087,0-00+
912828M72,99-090,0-002
912828M72,99-091,0-00+
912828M72,99-092,0-002
912828M72,99-093,0-00+
912828M72,99-09+,0-002
912828M72,99-095,0-00+
912828M72,99-096,0-002
912828M72,99-097,0-00+
912828M72,99-100,0-002
912828M72,99-101,0-00+
912828M72,99-102,0-002
912828M72,99-103,0-00+
912828M72,99-10+,0-002
912828M72,99-105,0-00+
912828M72,99-106,0-002
912828M72,99-107,0-00+
912828M72,99-110,0-002
912828M72,99-111,0-00+
912828M72,99-112,0-002
912828M72,99-113,0-00+
912828M72,99-11+,0-002
912828M72,99-115,0-00+
912828M72,99-116,0-002
912828M72,99-117,0-00+
912828M72,99-120,0-002
912828M72,99-121,0-00+
912828M72,99-122,0-002
912828M72,99-123,0-00+
912828M72,99-12+,0-002
912828M72,99-125,0-00+
912828M72,99-126,0-002
912828M72,99-127,0-00+
912828M72,99-130,0-002
912828M72,99-131,0-00+
912828M72,99-132,0-002
912828M72,99-133,0-00+
912828M72,99-13+,0-002
912828M72,99-135,0-00+
912828M72,99-136,0-002
912828M72,99-137,0-00+
912828M72,99-140,0-002
912828M72,99-141,0-00+
912828M72,99-142,0-002
912828M72,99-143,0-00+
912828M72,99-14+,0-002
912828M72,99-145,0-00+
912828M72,99-146,0-002
912828M72,99-147,0-00+
912828M72,99-150,0-002
912828M72,99-151,0-00+
912828M72,99-152,0-002
912828M72,99-153,0-00+
912828M72,99-15+,0-002
912828M72,99-155,0-00+
912828M72,99-156,0-002
912828M72,99-157,0-00+
912828M72,99-160,0-002
912828M72,99-161,0-00+
912828M72,99-162,0-002
912828M72,99-163,0-00+
912828M72,99-16+,0-002
912828M72,99-165,0-00+
912828M72,99-166,0-002
912828M72,99-167,0-00+
912828M72,99-170,0-002
912828M72,99-171,0-00+
912828M72,99-172,0-002
912828M72,99-173,0-00+
912828M72,99-17+,0-002
912828M72,99-175,0-00+
912828M72,99-176,0-002
912828M72,99-177,0-00+
912828M72,99-180,0-002
912828M72,99-181,0-00+
912828M72,99-182,0-002
912828M72,99-183,0-00+
912828M72,99-18+,0-002
912828M72,99-185,0-00+
912828M72,99-186,0-002
912828M72,99-187,0-00+
912828M72,99-190,0-002
912828M72,99-191,0-00+
912828M72,99-192,0-002
912828M72,99-193,0-00+
912828M72,99-19+,0-002
912828M72,99-195,0-00+
912828M72,99-196,0-002
912828M72,99-197,0-00+
912828M72,99-200,0-002
912828M72,99-201,0-00+
912828M72,99-202,0-002
912828M72,99-203,0-00+
912828M72,99-20+,0-002
912828M72,99-205,0-00+
912828M72,99-206,0-002
912828M72,99-207,0-00+
912828M72,99-210,0-002
912828M72,99-211,0-00+
912828M72,99-212,0-002
912828M72,99-213,0-00+
912828M72,99-21+,0-002
912828M72,99-215,0-00+
912828M72,99-216,0-002
912828M72,99-217,0-00+
912828M72,99-220,0-002
912828M72,99-221,0-00+
912828M72,99-222,0-002
912828M72,99-223,0-00+
912828M72,99-22+,0-002
912828M72,99-225,0-00+
912828M72,99-226,0-002
912828M72,99-227,0-00+
912828M72,99-230,0-002
912828M72,99-231,0-00+
912828M72,99-232,0-002
912828M72,99-233,0-00+
912828M72,99-23+,0-002
912828M72,99-235,0-00+
912828M72,99-236,0-002
912828M72,99-237,0-00+
912828M72,99-240,0-002
912828M72,99-241,0-00+
912828M72,99-242,0-002
912828M72,99-243,0-00+
912828M72,99-24+,0-002
912828M72,99-245,0-00+
912828M72,99-246,0-002
912828M72,99-247,0-00+
912828M72,99-250,0-002
912828M72,99-251,0-00+
912828M72,99-252,0-002
912828M72,99-253,0-00+
912828M72,99-25+,0-002
912828M72,99-255,0-00+
912828M72,99-256,0-002
912828M72,99-257,0-00+
912828M72,99-260,0-002
912828M72,99-261,0-00+
912828M72,99-262,0-002
912828M72,99-263,0-00+
912828M72,99-26+,0-002
912828M72,99-265,0-00+
912828M72,99-266,0-002
912828M72,99-267,0-00+
912828M72,99-270,0-002
912828M72,99-271,0-00+
912828M72,99-272,0-002
912828M72,99-273,0-00+
912828M72,99-27+,0-002
912828M72,99-275,0-00+
912828M72,99-276,0-002
912828M72,99-277,0-00+
912828M72,99-280,0-002
912828M72,99-281,0-00+
912828M72,99-282,0-002
912828M72,99-283,0-00+
912828M72,99-28+,0-002
912828M72,99-285,0-00+
912828M72,99-286,0-002
912828M72,99-287,0-00+
912828M72,99-290,0-002
912828M72,99-291,0-00+
912828M72,99-292,0-002
912828M72,99-293,0-00+
912828M72,99-29+,0-002
912828M72,99-295,0-00+
912828M72,99-296,0-002
912828M72,99-297,0-00+
912828M72,99-300,0-002
912828M72,99-301,0-00+
912828M72,99-302,0-002
912828M72,99-303,0-00+
912828M72,99-30+,0-002
912828M72,99-305,0-00+
912828M72,99-306,0-002
912828M72,99-307,0-00+
912828M72,99-310,0-002
912828M72,99-311,0-00+
912828M72,99-312,0-002
912828M72,99-313,0-00+
912828M72,99-31+,0-002
912828M72,99-315,0-00+
912828M72,99-316,0-002
912828M72,99-317,0-00+
912828M72,100-000,0-002
912828M72,100-001,0-00+
912828M72,100-002,0-002
912828M72,100-003,0-00+
912828M72,100-00+,0-002
912828M72,100-005,0-00+
912828M72,100-006,0-002
912828M72,100-007,0-00+
912828M72,100-010,0-002
912828M72,100-011,0-00+
912828M72,100-012,0-002
912828M72,100-013,0-00+
912828M72,100-01+,0-002
912828M72,100-015,0-00+
912828M72,100-016,0-002
912828M72,100-017,0-00+
912828M72,100-020,0-002
912828M72,100-021,0-00+
912828M72,100-022,0-002
912828M72,100-023,0-00+
912828M72,100-02+,0-002
912828M72,100-025,0-00+
912828M72,100-026,0-002
912828M72,100-027,0-00+
912828M72,100-030,0-002
912828M72,100-031,0-00+
912828M72,100-032,0-002
912828M72,100-033,0-00+
912828M72,100-03+,0-002
912828M72,100-035,0-00+
912828M72,100-036,0-002
912828M72,100-037,0-00+
912828M72,100-040,0-002
912828M72,100-041,0-00+
912828M72,100-042,0-002
912828M72,100-043,0-00+
912828M72,100-04+,0-002
912828M72,100-045,0-00+
912828M72,100-046,0-002
912828M72,100-047,0-00+
912828M72,100-050,0-002
912828M72,100-051,0-00+
912828M72,100-052,0-002
912828M72,100-053,0-00+
912828M72,100-05+,0-002
912828M72,100-055,0-00+
912828M72,100-056,0-002
912828M72,100-057,0-00+
912828M72,100-060,0-002
912828M72,100-061,0-00+
912828M72,100-062,0-002
912828M72,100-063,0-00+
912828M72,100-06+,0-002
912828M72,100-065,0-00+
912828M72,100-066,0-002
912828M72,100-067,0-00+
912828M72,100-070,0-002
912828M72,100-071,0-00+
912828M72,100-072,0-002
912828M72,100-073,0-00+
912828M72,100-07+,0-002
912828M72,100-075,0-00+
912828M72,100-076,0-002
912828M72,100-077,0-00+
912828M72,100-080,0-002
912828M72,100-081,0-00+
912828M72,100-082,0-002
912828M72,100-083,0-00+
912828M72,100-08+,0-002
912828M72,100-085,0-00+
912828M72,100-086,0-002
912828M72,100-087,0-00+
912828M72,100-090,0-002
912828M72,100-091,0-00+
912828M72,100-092,0-002
912828M72,100-093,0-00+
912828M72,100-09+,0-002
912828M72,100-095,0-00+
912828M72,100-096,0-002
912828M72,100-097,0-00+
912828M72,100-100,0-002
912828M72,100-101,0-00+
912828M72,100-102,0-002
912828M72,100-103,0-00+
912828M72,100-10+,0-002
912828M72,100-105,0-00+
912828M72,100-106,0-002
912828M72,100-107,0-00+
912828M72,100-110,0-002
912828M72,100-111,0-00+
912828M72,100-112,0-002
912828M72,100-113,0-00+
912828M72,100-11+,0-002
912828M72,100-115,0-00+
912828M72,100-116,0-002
912828M72,100-117,0-00+
912828M72,100-120,0-002
912828M72,100-121,0-00+
912828M72,100-122,0-002
912828M72,100-123,0-00+
912828M72,100-12+,0-002
912828M72,100-125,0-00+
912828M72,100-126,0-002
912828M72,100-127,0-00+
912828M72,100-130,0-002
912828M72,100-131,0-00+
912828M72,100-132,0-002
912828M72,100-133,0-00+
912828M72,100-13+,0-002
912828M72,100-135,0-00+
912828M72,100-136,0-002
912828M72,100-137,0-00+
912828M72,100-140,0-002
912828M72,100-141,0-00+
912828M72,100-142,0-002
912828M72,100-143,0-00+
912828M72,100-14+,0-002
912828M72,100-145,0-00+
912828M72,100-146,0-002
912828M72,100-147,0-00+
912828M72,100-150,0-002
912828M72,100-151,0-00+
912828M72,100-152,0-002
912828M72,100-153,0-00+
912828M72,100-15+,0-002
912828M72,100-155,0-00+
912828M72,100-156,0-002
912828M72,100-157,0-00+
912828M72,100-160,0-002
912828M72,100-161,0-00+
912828M72,100-162,0-002
912828M72,100-163,0-00+
912828M72,100-16+,0-002
912828M72,100-165,0-00+
912828M72,100-166,0-002
912828M72,100-167,0-00+
912828M72,100-170,0-002
912828M72,100-171,0-00+
912828M72,100-172,0-002
912828M72,100-173,0-00+
912828M72,100-17+,0-002
912828M72,100-175,0-00+
912828M72,100-176,0-002
912828M72,100-177,0-00+
912828M72,100-180,0-002
912828M72,100-181,0-00+
912828M72,100-182,0-002
912828M72,100-183,0-00+
912828M72,100-18+,0-002
912828M72,100-185,0-00+
912828M72,100-186,0-002
912828M72,100-187,0-00+
912828M72,100-190,0-002
912828M72,100-191,0-00+
912828M72,100-192,0-002
912828M72,100-193,0-00+
912828M72,100-19+,0-002
912828M72,100-195,0-00+
912828M72,100-196,0-002
912828M72,100-197,0-00+
912828M72,100-200,0-002
912828M72,100-201,0-00+
912828M72,100-202,0-002
912828M72,100-203,0-00+
912828M72,100-20+,0-002
912828M72,100-205,0-00+
912828M72,100-206,0-002
912828M72,100-207,0-00+
912828M72,100-210,0-002
912828M72,100-211,0-00+
912828M72,100-212,0-002
912828M72,100-213,0-00+
912828M72,100-21+,0-002
912828M72,100-215,0-00+
912828M72,100-216,0-002
912828M72,100-217,0-00+
912828M72,100-220,0-002
912828M72,100-221,0-00+
912828M72,100-222,0-002
912828M72,100-223,0-00+
912828M72,100-22+,0-002
912828M72,100-225,0-00+
912828M72,100-226,0-002
912828M72,100-227,0-00+
912828M72,100-230,0-002
912828M72,100-231,0-00+
912828M72,100-232,0-002
912828M72,100-233,0-00+
912828M72,100-23+,0-002
912828M72,100-235,0-00+
912828M72,100-236,0-002
912828M72,100-237,0-00+
912828M72,100-240,0-002
912828M72,100-241,0-00+
912828M72,100-242,0-002
912828M72,100-243,0-00+
912828M72,100-24+,0-002
912828M72,100-245,0-00+
912828M72,100-246,0-002
912828M72,100-247,0-00+
912828M72,100-250,0-002
912828M72,100-251,0-00+
912828M72,100-252,0-002
912828M72,100-253,0-00+
912828M72,100-25+,0-002
912828M72,100-255,0-00+
912828M72,100-256,0-002
912828M72,100-257,0-00+
912828M72,100-260,0-002
912828M72,100-261,0-00+
912828M72,100-262,0-002
912828M72,100-263,0-00+
