CUSIP, Trade_ID, Book, Quantity, Side
912828M72,T1,TRSY1,30000000,BUY
912828M72,T2,TRSY2,10000000,BUY
912828M72,T3,TRSY1,30000000,BUY
912828M72,T4,TRSY1,50000000,BUY
912828M72,T5,TRSY2,30000000,SELL
912828M72,T6,TRSY3,30000000,SELL
912828M72,T7,TRSY2,30000000,SELL
912828M72,T8,TRSY3,30000000,BUY
912828M72,T9,TRSY2,50000000,BUY
912828M72,T10,TRSY1,50000000,SELL
912828N22,T11,TRSY2,40000000,BUY
912828N22,T12,TRSY2,50000000,BUY
912828N22,T13,TRSY2,20000000,BUY
912828N22,T14,TRSY1,50000000,BUY
912828N22,T15,TRSY2,10000000,BUY
912828N22,T16,TRSY3,10000000,BUY
912828N22,T17,TRSY3,40000000,BUY
912828N22,T18,TRSY1,50000000,SELL
912828N22,T19,TRSY2,40000000,BUY
912828N22,T20,TRSY1,50000000,BUY
912828M98,T21,TRSY1,30000000,BUY
912828M98,T22,TRSY2,30000000,BUY
912828M98,T23,TRSY3,20000000,SELL
912828M98,T24,TRSY2,30000000,BUY
912828M98,T25,TRSY2,50000000,BUY
912828M98,T26,TRSY3,20000000,BUY
912828M98,T27,TRSY3,40000000,BUY
912828M98,T28,TRSY2,30000000,SELL
912828M98,T29,TRSY3,20000000,SELL
912828M98,T30,TRSY1,10000000,BUY
912828M80,T31,TRSY2,10000000,BUY
912828M80,T32,TRSY3,20000000,BUY
912828M80,T33,TRSY3,50000000,SELL
912828M80,T34,TRSY2,20000000,BUY
912828M80,T35,TRSY3,20000000,BUY
912828M80,T36,TRSY2,50000000,BUY
912828M80,T37,TRSY1,40000000,BUY
912828M80,T38,TRSY1,20000000,SELL
912828M80,T39,TRSY3,50000000,BUY
912828M80,T40,TRSY1,40000000,SELL
912828M56,T41,TRSY2,30000000,BUY
912828M56,T42,TRSY1,30000000,BUY
912828M56,T43,TRSY1,20000000,SELL
912828M56,T44,TRSY1,40000000,BUY
912828M56,T45,TRSY2,30000000,SELL
912828M56,T46,TRSY3,10000000,BUY
912828M56,T47,TRSY2,50000000,SELL
912828M56,T48,TRSY1,30000000,BUY
912828M56,T49,TRSY2,20000000,SELL
912828M56,T50,TRSY1,50000000,SELL
912810RP5,T51,TRSY1,50000000,BUY
912810RP5,T52,TRSY3,50000000,SELL
912810RP5,T53,TRSY1,40000000,BUY
912810RP5,T54,TRSY3,40000000,SELL
912810RP5,T55,TRSY2,50000000,BUY
912810RP5,T56,TRSY2,40000000,SELL
912810RP5,T57,TRSY2,40000000,SELL
912810RP5,T58,TRSY2,40000000,SELL
912810RP5,T59,TRSY3,30000000,SELL
912810RP5,T60,TRSY3,30000000,SELL
